epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,120247,1.53634,1.19785,1.35066,0.82417,0.58903,0.66692,0.38993,1.85015,1.45593,1.01698,0.0063865,0.0063865,0.0063865
75,121538,1.40173,1.00307,1.2682,0.87095,0.6497,0.72456,0.43181,1.74627,1.16286,0.97897,0.006337,0.006337,0.006337
76,124050,1.59538,1.30544,1.41074,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.0062875,0.0062875,0.0062875
77,125347,1.53305,1.18901,1.35253,0.84603,0.59421,0.67189,0.3928,1.84511,1.37253,1.01689,0.006238,0.006238,0.006238
78,126640,1.40014,1.00319,1.26601,0.88908,0.64401,0.72061,0.43381,1.76126,1.17061,0.98587,0.0061885,0.0061885,0.0061885
79,127922,nan,nan,nan,0.86853,0.63557,0.71577,0.41848,nan,nan,nan,0.006139,0.006139,0.006139
80,129197,nan,nan,nan,0.86954,0.63438,0.71533,0.41816,nan,nan,nan,0.0060895,0.0060895,0.0060895
81,131709,1.59615,1.30664,1.40799,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.00604,0.00604,0.00604
82,133003,1.53002,1.18065,1.34824,0.82719,0.58547,0.66583,0.38819,1.82782,1.32866,1.01152,0.0059905,0.0059905,0.0059905
83,135529,1.59622,1.30887,1.40829,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.005941,0.005941,0.005941
84,136824,1.5309,1.18237,1.34928,0.84462,0.58763,0.66482,0.38923,1.85694,1.33855,1.01205,0.0058915,0.0058915,0.0058915
85,138117,1.40015,0.99644,1.26209,0.88208,0.63832,0.71775,0.42944,1.78186,1.18994,0.98402,0.005842,0.005842,0.005842
86,139411,1.33208,0.90326,1.22135,0.89584,0.66883,0.74734,0.45504,1.6972,1.10239,0.96505,0.0057925,0.0057925,0.0057925
87,140703,1.28431,0.84266,1.19461,0.89935,0.66692,0.74376,0.45939,1.68153,1.1124,0.95629,0.005743,0.005743,0.005743
88,143228,1.59881,1.31231,1.40698,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.0056935,0.0056935,0.0056935
89,144530,1.52397,1.17283,1.34319,0.83854,0.59011,0.66426,0.38435,1.85161,1.38087,1.00921,0.005644,0.005644,0.005644
90,146347,nan,nan,nan,0.22117,0.25712,0.15616,0.07355,nan,nan,nan,0.0055945,0.0055945,0.0055945
91,148868,1.601,1.31397,1.40997,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.005545,0.005545,0.005545
92,150168,1.52416,1.17148,1.3443,0.84928,0.60375,0.68009,0.39699,1.843,1.3192,1.01102,0.0054955,0.0054955,0.0054955
93,151462,nan,nan,nan,0.86637,0.57711,0.66225,0.39845,nan,nan,nan,0.005446,0.005446,0.005446
94,153984,1.60097,1.31332,1.40876,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.0053965,0.0053965,0.0053965
95,155287,1.51749,1.16472,1.34136,0.84718,0.60278,0.67864,0.39473,1.84088,1.32232,1.00645,0.005347,0.005347,0.005347
96,156585,1.391,0.98353,1.26044,0.86921,0.65263,0.72425,0.43523,nan,nan,nan,0.0052975,0.0052975,0.0052975
97,159109,1.59965,1.31139,1.41083,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.005248,0.005248,0.005248
98,160404,1.52105,1.16693,1.33918,0.86096,0.60559,0.68407,0.40352,1.83125,1.28922,1.01178,0.0051985,0.0051985,0.0051985
99,161698,1.39345,0.99116,1.25906,0.87222,0.64785,0.72257,0.43299,1.75636,1.20221,0.98235,0.005149,0.005149,0.005149
100,162978,nan,nan,nan,0.00014,0.011,0,0,nan,nan,nan,0.0050995,0.0050995,0.0050995
101,164247,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00505,0.00505,0.00505
102,165515,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0050005,0.0050005,0.0050005
103,166782,2.59562,8.43479,2.51221,0,0,0,0,nan,nan,nan,0.004951,0.004951,0.004951
104,168049,2.44386,6.67774,2.38648,0,0,0,0,nan,nan,nan,0.0049015,0.0049015,0.0049015
105,170559,1.60129,1.31149,1.41116,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.004852,0.004852,0.004852
106,171851,1.51008,1.15375,1.3355,0.84445,0.58666,0.66932,0.39109,1.83635,1.3674,1.0105,0.0048025,0.0048025,0.0048025
