epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,14328,1.74134,0.85155,0.87898,0.89917,0.67374,0.73143,0.46289,1.82686,0.7733,0.77295,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,14676.4,1.74188,0.84898,0.87893,0.89325,0.67413,0.72899,0.46154,1.82639,0.77552,0.77277,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,15023.7,1.73631,0.84444,0.87697,0.88795,0.67531,0.7282,0.46115,1.82537,0.77743,0.77244,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,15373.4,1.7341,0.84257,0.87835,0.88837,0.67336,0.72799,0.46164,1.82542,0.77866,0.77235,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,15721.4,1.73491,0.84313,0.87523,0.89016,0.67259,0.72782,0.46174,1.82427,0.77988,0.77226,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,16069.4,1.73219,0.8392,0.87732,0.89076,0.67073,0.7277,0.46179,1.82432,0.77998,0.7723,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,16416.7,1.72863,0.83957,0.87758,0.88958,0.6721,0.72852,0.46199,1.82443,0.77917,0.77213,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,16764.3,1.7312,0.83775,0.87698,0.89156,0.67122,0.72905,0.46165,1.82455,0.77843,0.77214,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,17113,1.73166,0.83895,0.87646,0.89857,0.66784,0.73002,0.46197,1.82492,0.77713,0.77217,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,17460.8,1.72729,0.83691,0.87389,0.89608,0.66873,0.72988,0.46197,1.82388,0.77748,0.772,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,17810.7,1.72028,0.83518,0.87315,0.89546,0.6676,0.72937,0.46144,1.82303,0.77831,0.77179,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,18158.8,1.72365,0.83166,0.87631,0.89618,0.66706,0.72946,0.46136,1.82352,0.77891,0.7718,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,18506.8,1.71848,0.82826,0.87473,0.89683,0.66755,0.73028,0.4615,1.8233,0.77733,0.77167,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,18854.7,1.72083,0.8276,0.8741,0.89943,0.66787,0.73132,0.46172,1.8236,0.77734,0.77162,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,19202.5,1.71829,0.82981,0.87271,0.89955,0.66814,0.73211,0.46184,1.82368,0.77608,0.77148,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,19550.5,1.71622,0.82498,0.87374,0.90268,0.66674,0.73241,0.46224,1.82294,0.77569,0.77152,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,19897.6,1.72064,0.82645,0.87176,0.90225,0.6676,0.73241,0.46204,1.82383,0.77456,0.77147,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,20244.7,1.71434,0.82538,0.87205,0.90027,0.66744,0.73164,0.4619,1.82145,0.77479,0.77127,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,20594.4,1.71611,0.82881,0.86901,0.8988,0.66733,0.73103,0.46176,1.82055,0.77517,0.77104,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,20942.4,1.70843,0.82405,0.8734,0.89781,0.6676,0.72968,0.46105,1.81991,0.77653,0.77083,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,21289.6,1.71007,0.81856,0.87059,0.89692,0.66679,0.72938,0.46126,1.81786,0.77686,0.77064,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,21638,1.70447,0.80984,0.87196,0.89303,0.6683,0.72971,0.46121,1.8169,0.7758,0.77043,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,21986.4,1.7103,0.81401,0.87029,0.89589,0.66642,0.72843,0.46058,1.81547,0.77722,0.77021,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,22333.6,1.70756,0.81363,0.87063,0.89457,0.66685,0.72799,0.4607,1.81356,0.77769,0.76996,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,22681.2,1.70098,0.81044,0.87087,0.88949,0.66917,0.72782,0.46141,1.81261,0.77735,0.76989,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,23029.8,1.70853,0.81332,0.86757,0.892,0.66642,0.72743,0.46138,1.81181,0.77919,0.76971,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,23376.9,1.70558,0.81783,0.86891,0.8886,0.66803,0.72733,0.46163,1.81005,0.77895,0.76925,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
