epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,160075,1.84506,0.17697,0.17837,0.70579,0.43596,0.45644,0.18638,1.10281,0.37846,0.10402,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,163985,1.85407,0.17343,0.17947,0.7178,0.43987,0.46127,0.19348,1.09717,0.37283,0.10207,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,168266,1.83944,0.17928,0.17435,0.7359,0.44376,0.46785,0.19747,1.09387,0.36819,0.10031,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,173792,1.85583,0.17537,0.17019,0.76041,0.45166,0.47874,0.20147,1.0901,0.36676,0.0994,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,178388,1.82993,0.18052,0.17373,0.75802,0.45643,0.48384,0.20137,1.08964,0.36511,0.0995,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,182286,1.85934,0.17859,0.16543,0.76466,0.46053,0.49042,0.20001,1.08892,0.36625,0.10005,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,186180,1.85202,0.18383,0.16196,0.7579,0.46324,0.49017,0.20045,1.08384,0.36892,0.0984,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,190078,1.83107,0.1872,0.16087,0.75947,0.46409,0.49173,0.20282,1.07905,0.3698,0.09645,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,193974,1.83973,0.18321,0.16076,0.77029,0.46454,0.4943,0.20546,1.0744,0.36839,0.09467,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,197871,1.83804,0.18865,0.15267,0.75978,0.46134,0.49412,0.20554,1.06941,0.36999,0.09373,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,201769,1.82812,0.19182,0.15106,0.76888,0.46225,0.49708,0.20927,1.06243,0.37058,0.0926,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,205665,1.80452,0.1905,0.15188,0.77069,0.46921,0.50321,0.21302,1.05215,0.37336,0.09134,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,209562,1.82398,0.18968,0.14816,0.76022,0.47649,0.50411,0.21209,1.05183,0.37617,0.09136,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,213459,1.80524,0.19238,0.14444,0.75724,0.48361,0.50747,0.2139,1.04914,0.37566,0.0908,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,217354,1.81061,0.19245,0.1438,0.76712,0.48424,0.51156,0.21601,1.04688,0.37386,0.09016,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,221249,1.82259,0.19526,0.14086,0.76024,0.48673,0.51595,0.22061,1.0385,0.37454,0.08823,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,225145,1.78387,0.19961,0.13662,0.759,0.4898,0.51889,0.22387,1.03215,0.37384,0.08712,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,229038,1.79934,0.19853,0.13619,0.74775,0.49219,0.51605,0.22693,1.02551,0.37406,0.08582,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,232935,1.79115,0.19576,0.13484,0.74017,0.49461,0.51763,0.22982,1.01633,0.377,0.08469,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,236833,1.79082,0.19879,0.13021,0.73663,0.49606,0.52101,0.22942,1.01005,0.38155,0.08497,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,240728,1.76472,0.19832,0.13236,0.73768,0.49224,0.52144,0.22644,1.01223,0.38413,0.08582,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,244627,1.77256,0.20345,0.12476,0.73902,0.49563,0.52428,0.23184,1.00192,0.3853,0.08511,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,248528,1.74779,0.20924,0.12447,0.73754,0.49935,0.52617,0.23708,0.99493,0.38364,0.08316,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,252424,1.75395,0.20956,0.1211,0.73781,0.5034,0.53072,0.24325,0.98722,0.3832,0.08199,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,256323,1.73784,0.21294,0.11792,0.74948,0.51084,0.5419,0.24906,0.9757,0.38278,0.08069,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,260219,1.76413,0.21301,0.11515,0.74893,0.51602,0.54708,0.2552,0.96307,0.38642,0.07876,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,264116,1.73046,0.21327,0.11533,0.74597,0.5145,0.54642,0.25513,0.95898,0.38701,0.07874,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,268006,1.72069,0.21839,0.11029,0.74616,0.51143,0.54587,0.255,0.95452,0.38844,0.07878,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,271896,1.72935,0.21867,0.10825,0.74852,0.51699,0.55444,0.2603,0.94166,0.39097,0.07803,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,275788,1.70567,0.22389,0.10461,0.76033,0.52378,0.56129,0.26571,0.93346,0.392,0.07702,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,279683,1.70892,0.21724,0.10413,0.75833,0.53047,0.56665,0.2703,0.9213,0.39514,0.07656,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,283580,1.70974,0.22174,0.10256,0.75258,0.53047,0.56787,0.27202,0.91584,0.39787,0.07583,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,287475,1.67337,0.22512,0.10045,0.75536,0.5338,0.57166,0.27709,0.90349,0.39978,0.07473,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,291410,1.68326,0.22401,0.10304,0.74071,0.53521,0.57145,0.27863,0.89936,0.40164,0.07476,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,295285,1.71965,0.22476,0.09793,0.74359,0.524,0.567,0.27813,0.90119,0.40359,0.0741,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,299124,1.64794,0.23577,0.09376,0.7442,0.5295,0.57254,0.28103,0.89352,0.406,0.07296,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,302965,1.6735,0.23307,0.09022,0.75031,0.52982,0.57943,0.28541,0.88231,0.41037,0.07236,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,306804,1.68105,0.22752,0.09159,0.74737,0.53052,0.58314,0.28723,0.87824,0.41118,0.07248,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,310647,1.65156,0.23463,0.08894,0.75347,0.54028,0.59302,0.29563,0.86984,0.41067,0.07164,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,314490,1.6344,0.2379,0.08587,0.76111,0.54406,0.59798,0.3012,0.86452,0.40964,0.07129,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,318331,1.62329,0.2379,0.08421,0.76491,0.54249,0.59842,0.30323,0.86388,0.40943,0.07169,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,322172,1.60227,0.24433,0.08349,0.75808,0.54125,0.59614,0.30195,0.85993,0.41595,0.0734,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,326012,1.62356,0.24036,0.08144,0.75426,0.54692,0.5991,0.30356,0.85469,0.41757,0.07432,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,329855,1.58733,0.24437,0.08011,0.75328,0.55031,0.6024,0.30895,0.84901,0.41742,0.07372,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,333697,1.56828,0.25659,0.07624,0.75242,0.55705,0.60596,0.31021,0.8454,0.41937,0.07411,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,337540,1.57521,0.24463,0.07557,0.74781,0.56563,0.61155,0.31438,0.83512,0.42172,0.07383,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,341381,1.52748,0.25676,0.07175,0.75512,0.56954,0.61888,0.3206,0.82109,0.42424,0.07362,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,345222,1.5221,0.25831,0.07068,0.7601,0.57679,0.62646,0.32384,0.81438,0.42507,0.07423,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,349062,1.50975,0.26209,0.06829,0.76403,0.58208,0.63375,0.32932,0.80479,0.42773,0.07456,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,352901,1.49539,0.25836,0.06851,0.76113,0.5899,0.6416,0.33339,0.79218,0.43261,0.07508,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,356742,1.48565,0.261,0.06693,0.7597,0.60138,0.64873,0.33802,0.78116,0.43408,0.07515,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,360584,1.47224,0.26171,0.06486,0.7562,0.60251,0.65226,0.3393,0.77263,0.43708,0.07563,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,364427,1.42501,0.26969,0.06128,0.75846,0.61163,0.66241,0.34524,0.76378,0.43546,0.07624,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,368266,1.40242,0.27586,0.05841,0.76054,0.61723,0.66988,0.3506,0.75466,0.43631,0.07686,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,372102,1.3835,0.27528,0.05716,0.75776,0.62274,0.67426,0.35435,0.74385,0.44117,0.07685,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,375938,1.38956,0.27187,0.05614,0.75819,0.62441,0.6793,0.35778,0.73212,0.44611,0.07742,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
