case,distribution,tokens,routed_m,skew_ratio,op,candidate_set,best_ms,mfu_percent,best_config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather
m16k_tk20k,random,16384,19661,1.0506078022481053,out,current_after,0.28140959739685056,66.66729428143519,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
m16k_tk20k,random,16384,19661,1.0506078022481053,out,expanded_after,0.28140959739685056,66.66729428143519,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
m20k_tk24k,random,20000,24000,1.0526666666666666,gated,before,0.7052304029464722,64.94658824006541,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m20k_tk24k,random,20000,24000,1.0526666666666666,gated,current_after,0.7052304029464722,64.94658824006541,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m20k_tk24k,random,20000,24000,1.0526666666666666,gated,expanded_after,0.7052304029464722,64.94658824006541,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m20k_tk24k,random,20000,24000,1.0526666666666666,out,before,0.3233303904533386,70.82895692285673,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m20k_tk24k,random,20000,24000,1.0526666666666666,out,current_after,0.3233303904533386,70.82895692285673,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m20k_tk24k,random,20000,24000,1.0526666666666666,out,expanded_after,0.3233303904533386,70.82895692285673,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_target,random,24497,29446,1.0209875704679752,gated,before,1.0310984134674073,54.500729564188475,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_target,random,24497,29446,1.0209875704679752,gated,current_after,0.9587224006652832,58.615106674732246,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
online_target,random,24497,29446,1.0209875704679752,gated,expanded_after,0.9587224006652832,58.615106674732246,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
online_target,random,24497,29446,1.0209875704679752,out,before,0.40445359945297243,69.47102938687662,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_target,random,24497,29446,1.0209875704679752,out,current_after,0.40445359945297243,69.47102938687662,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_target,random,24497,29446,1.0209875704679752,out,expanded_after,0.40445359945297243,69.47102938687662,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m24k_tk36k,random,24576,36864,1.0355902777777777,gated,before,1.1697008132934572,60.14559039514252,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m24k_tk36k,random,24576,36864,1.0355902777777777,gated,current_after,1.1485880374908448,61.251156815895456,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m24k_tk36k,random,24576,36864,1.0355902777777777,gated,expanded_after,1.1485880374908448,61.251156815895456,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m24k_tk36k,random,24576,36864,1.0355902777777777,out,before,0.49517998695373533,71.03714594162948,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m24k_tk36k,random,24576,36864,1.0355902777777777,out,current_after,0.49517998695373533,71.03714594162948,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m24k_tk36k,random,24576,36864,1.0355902777777777,out,expanded_after,0.49517998695373533,71.03714594162948,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_max,random,28940,36560,1.037636761487965,gated,before,1.1864488124847412,58.80757997436138,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_max,random,28940,36560,1.037636761487965,gated,current_after,1.1732471942901612,59.46929493225518,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
online_max,random,28940,36560,1.037636761487965,gated,expanded_after,1.1732471942901612,59.46929493225518,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
online_max,random,28940,36560,1.037636761487965,out,before,0.5036231994628906,69.27022375070676,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
online_max,random,28940,36560,1.037636761487965,out,current_after,0.5036231994628906,69.27022375070676,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
online_max,random,28940,36560,1.037636761487965,out,expanded_after,0.5036231994628906,69.27022375070676,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
m32k_tk42k,random,32768,42598,1.042678060002817,gated,before,1.3586944103240968,59.83338142744478,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m32k_tk42k,random,32768,42598,1.042678060002817,gated,current_after,1.3586944103240968,59.83338142744478,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m32k_tk42k,random,32768,42598,1.042678060002817,gated,expanded_after,1.3586944103240968,59.83338142744478,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m32k_tk42k,random,32768,42598,1.042678060002817,out,before,0.5832584142684936,69.69061989291411,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m32k_tk42k,random,32768,42598,1.042678060002817,out,current_after,0.5832584142684936,69.69061989291411,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m32k_tk42k,random,32768,42598,1.042678060002817,out,expanded_after,0.5832584142684936,69.69061989291411,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m40k_tk52k,random,40960,53248,1.0375600961538463,gated,before,1.6764023780822754,60.61793795075289,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m40k_tk52k,random,40960,53248,1.0375600961538463,gated,current_after,1.6764023780822754,60.61793795075289,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m40k_tk52k,random,40960,53248,1.0375600961538463,gated,expanded_after,1.6764023780822754,60.61793795075289,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m40k_tk52k,random,40960,53248,1.0375600961538463,out,before,0.7466360092163086,68.05193834794373,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
m40k_tk52k,random,40960,53248,1.0375600961538463,out,current_after,0.7452255964279175,68.180733339126,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False
m40k_tk52k,random,40960,53248,1.0375600961538463,out,expanded_after,0.7452255964279175,68.180733339126,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False
m48k_tk64k,random,49152,65536,1.02197265625,gated,before,2.0445703506469726,61.172185782657785,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m48k_tk64k,random,49152,65536,1.02197265625,gated,current_after,2.0445703506469726,61.172185782657785,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
