case,distribution,candidate_set,tokens,routed_m,skew_ratio,total_ms,weighted_mfu_percent,gated_ms,out_ms,gated_config,out_config
m8k_tk12k,random,before,8192.0,12288.0,1.0598958333333333,0.656001603603363,53.62208385983638,0.46004960536956785,0.19595199823379517,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m8k_tk12k,random,current_after,8192.0,12288.0,1.0598958333333333,0.6452104032039643,54.51891790016096,0.46004960536956785,0.18516079783439637,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw4
m8k_tk12k,random,expanded_after,8192.0,12288.0,1.0598958333333333,0.6268792092800141,56.11315940914257,0.4417184114456177,0.18516079783439637,m128_n256_cm2_cn1_pp0_dyn0_sw4,m128_n192_cm1_cn2_pp1_dyn0_sw4
online_min,random,before,12176.0,14395.0,1.0292462660646058,0.7175055980682373,57.43197631432439,0.5079071998596192,0.20959839820861814,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_min,random,current_after,12176.0,14395.0,1.0292462660646058,0.7070887804031372,58.27806303213593,0.497490382194519,0.20959839820861814,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_min,random,expanded_after,12176.0,14395.0,1.0292462660646058,0.7070887804031372,58.27806303213593,0.497490382194519,0.20959839820861814,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m12k_tk18k,random,before,12288.0,18432.0,1.0642361111111112,0.8678256034851074,60.80053329725883,0.607202410697937,0.2606231927871704,m128_n224_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m12k_tk18k,random,current_after,12288.0,18432.0,1.0642361111111112,0.8678256034851074,60.80053329725883,0.607202410697937,0.2606231927871704,m128_n224_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m12k_tk18k,random,expanded_after,12288.0,18432.0,1.0642361111111112,0.8678256034851074,60.80053329725883,0.607202410697937,0.2606231927871704,m128_n224_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m16k_tk20k,random,before,16384.0,19661.0,1.0506078022481053,0.9059567928314208,62.12487148965068,0.6245471954345703,0.28140959739685056,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m16k_tk20k,random,current_after,16384.0,19661.0,1.0506078022481053,0.9059567928314208,62.12487148965068,0.6245471954345703,0.28140959739685056,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m16k_tk20k,random,expanded_after,16384.0,19661.0,1.0506078022481053,0.9059567928314208,62.12487148965068,0.6245471954345703,0.28140959739685056,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
