case,distribution,tokens,routed_m,skew_ratio,op,rank,ms,mfu_percent,config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather,error
m12k_tk18k,random,12288,18432,1.0642361111111112,out,3,0.27164560556411743,64.74644220280588,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,out,4,0.27601919174194334,63.720520262760715,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,out,5,0.27615920305252073,63.68821428326032,m128_n256_cm1_cn2_pp0_dyn0_sw8,128,256,,,False,False,1,2,1,False,8,9,False,
online_min,random,12176,14395,1.0292462660646058,gated,1,0.497490382194519,55.220852487473,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
online_min,random,12176,14395,1.0292462660646058,gated,2,0.5001479864120484,54.92742899192109,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
online_min,random,12176,14395,1.0292462660646058,gated,3,0.5065527915954591,54.23293181856461,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False,
online_min,random,12176,14395,1.0292462660646058,gated,4,0.5079071998596192,54.088311834707326,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,
online_min,random,12176,14395,1.0292462660646058,gated,5,0.5118784189224244,53.66868770699921,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,
online_min,random,12176,14395,1.0292462660646058,out,1,0.20959839820861814,65.53447746713394,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
online_min,random,12176,14395,1.0292462660646058,out,2,0.21479359865188596,63.949398821757875,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False,
online_min,random,12176,14395,1.0292462660646058,out,3,0.21615360975265502,63.54703731419564,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False,
online_min,random,12176,14395,1.0292462660646058,out,4,0.2193448066711426,62.622506149160515,m192_n128_cm1_cn1_pp1_dyn0_sw8,192,128,,,True,False,1,1,1,False,8,9,False,
online_min,random,12176,14395,1.0292462660646058,out,5,0.21945040225982665,62.59237332491596,m192_n128_cm1_cn2_pp1_dyn0_sw4,192,128,,,True,False,1,2,1,False,4,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,gated,1,0.6245471954345703,60.07813846709199,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,gated,2,0.6339615821838379,59.18597268512629,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
