case,op,tokens,routed_m,ms,mfu_percent,status,error,config_label,config_tile_m,config_tile_n,config_tile_k,config_num_warps,config_pingpong,config_is_dynamic_persistent,config_cluster_m,config_cluster_n,config_cluster_k,config_swap_ab,config_max_swizzle_size,config_device_capacity,config_use_tma_gather
online_target,out,24497,29446,0.4346687952677409,64.6418795163757,ok,,m128_n160_cm1_cn2_pp1_dyn0_sw8,128,160,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.44882132212320963,62.60354958250428,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.3859946568806966,72.79325605253122,ok,,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.40887254079182944,68.72021251124077,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.7599765141805013,36.97194238104048,ok,,m128_n208_cm1_cn2_pp1_dyn0_sw8,128,208,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.5062250773111979,55.504575242432274,ok,,m128_n208_cm2_cn1_pp1_dyn0_sw8,128,208,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.4089813232421875,68.70193404060832,ok,,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.4174463907877604,67.3087814706034,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.3406698862711588,52.04277662992921,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.474999491373698,47.30319151547789,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.2867477416992188,54.22366883935202,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.1128704071044921,62.6956948268742,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.1381994883219402,61.30048742909593,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.2859498341878255,54.25731359866687,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.2651626586914062,55.148784977458845,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.1662208557128906,59.82759018919447,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_max,gated,28940,36560,1.3999210357666017,49.84008500699114,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.5335018793741862,65.3907569243499,ok,,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.5744127909342448,60.73348689903181,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.5509951909383138,63.31469364266537,ok,,m256_n160_cm1_cn2_pp0_dyn0_sw8,256,160,,,False,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.6056469599405925,57.60136518519503,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.5455082575480144,63.95153736013,ok,,m256_n192_cm1_cn2_pp0_dyn0_sw8,256,192,,,False,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.561299196879069,62.152399124770895,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.6166698455810546,56.57174898826125,ok,,m256_n208_cm1_cn2_pp0_dyn0_sw8,256,208,,,False,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.608179219563802,57.36153191465869,ok,,m256_n208_cm2_cn1_pp0_dyn0_sw8,256,208,,,False,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.535255495707194,65.17652222654678,ok,,m128_n224_cm1_cn2_pp0_dyn0_sw8,128,224,,,False,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.5312874794006348,65.66330483111997,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.5325119972229004,65.51231126204755,ok,,m128_n256_cm1_cn2_pp0_dyn0_sw8,128,256,,,False,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.5617834726969401,62.09882171393269,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.5137152036031087,67.90940090570865,ok,,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.5254421234130859,66.39378564899509,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.5317226727803548,65.60956208698681,ok,,m128_n160_cm1_cn2_pp1_dyn0_sw8,128,160,,,True,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.5420842488606771,64.35547940410173,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.5178880055745443,67.36223148118418,ok,,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.5329898516337077,65.45357590938973,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.9338517506917318,37.357205452578626,ok,,m128_n208_cm1_cn2_pp1_dyn0_sw8,128,208,,,True,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.605079460144043,57.655389103005405,ok,,m128_n208_cm2_cn1_pp1_dyn0_sw8,128,208,,,True,False,2,1,1,False,8,9,False
online_max,out,28940,36560,0.48954025904337567,71.26296779148082,ok,,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_max,out,28940,36560,0.5040661176045735,69.20935665866054,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
