epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,46392.8,1.07048,0.5461,0.96401,0.94765,0.7562,0.80667,0.52709,1.60263,0.60563,0.76497,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,47214.9,1.06965,0.54367,0.96563,0.94858,0.7555,0.80676,0.52766,1.60269,0.6052,0.76492,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,48037.5,1.06622,0.54214,0.96089,0.94839,0.75539,0.80698,0.52809,1.601,0.60404,0.76474,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,48862.4,1.0663,0.54259,0.96317,0.94937,0.75577,0.80667,0.52787,1.60052,0.60371,0.76442,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,49685.4,1.06598,0.54267,0.96306,0.95028,0.75701,0.80708,0.52813,1.59993,0.60192,0.76432,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,50508,1.0641,0.54027,0.96204,0.94882,0.75679,0.80705,0.52824,1.59821,0.60273,0.76402,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,51331.2,1.06293,0.54095,0.96194,0.94902,0.7569,0.80733,0.52855,1.59655,0.6013,0.76379,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,52154.4,1.06281,0.53749,0.96178,0.94711,0.75739,0.8076,0.52878,1.59735,0.60057,0.76366,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,52975.7,1.05884,0.5365,0.95955,0.94967,0.75603,0.80761,0.52888,1.59746,0.59991,0.76359,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,53796.9,1.05735,0.53448,0.9583,0.94774,0.75695,0.80772,0.52935,1.59486,0.59851,0.76308,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,54619.3,1.05686,0.53395,0.96075,0.95168,0.75674,0.80966,0.52958,1.59488,0.59729,0.76304,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,55442.5,1.05598,0.53316,0.95877,0.94792,0.75884,0.81039,0.52977,1.59307,0.59592,0.76254,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,56264.3,1.0514,0.53283,0.95684,0.94885,0.75932,0.81046,0.5301,1.59212,0.59554,0.7618,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,57085.6,1.05251,0.53318,0.95659,0.94931,0.7585,0.81051,0.53024,1.59198,0.59472,0.76157,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,57908,1.05242,0.53299,0.95778,0.94832,0.75841,0.80965,0.53033,1.59131,0.59379,0.76135,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,58730.1,1.05379,0.53115,0.95849,0.94731,0.76018,0.81061,0.53025,1.59032,0.59236,0.76098,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,59551.6,1.04885,0.5304,0.95814,0.94822,0.7596,0.81064,0.53076,1.59007,0.5918,0.76056,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,60373.4,1.04752,0.52849,0.95638,0.95015,0.7596,0.81114,0.53112,1.59041,0.59226,0.76027,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,61194.4,1.04623,0.5262,0.95507,0.95216,0.75873,0.81103,0.53123,1.58949,0.59216,0.76003,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,62016.1,1.04265,0.52537,0.95549,0.95158,0.75992,0.81122,0.53161,1.58823,0.59148,0.75982,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,62837.8,1.04614,0.52654,0.95473,0.95015,0.76213,0.81159,0.5319,1.58743,0.59067,0.75977,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,63659.2,1.04392,0.52457,0.95553,0.95181,0.76149,0.8119,0.53204,1.58487,0.5892,0.75968,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,64480.1,1.03933,0.52012,0.95544,0.95383,0.7617,0.81203,0.53274,1.58422,0.58884,0.75926,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,65300.6,1.04555,0.52407,0.95333,0.95346,0.76176,0.81294,0.53351,1.58253,0.58786,0.759,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,66121.7,1.03668,0.519,0.95316,0.9525,0.76239,0.81267,0.53395,1.58176,0.58669,0.75926,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,66943.6,1.03604,0.51831,0.95428,0.95198,0.7611,0.81157,0.53344,1.58225,0.58586,0.7593,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,67763.9,1.03775,0.5192,0.95202,0.95099,0.76154,0.81215,0.53397,1.58111,0.58605,0.75883,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,68584.1,1.03818,0.51925,0.94978,0.95162,0.76138,0.81287,0.53387,1.58153,0.5861,0.75878,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,69405.5,1.03423,0.51655,0.95063,0.95136,0.76257,0.81262,0.53385,1.58126,0.58528,0.75864,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,70226.7,1.03276,0.51588,0.95093,0.95067,0.76316,0.81314,0.53396,1.58124,0.58483,0.75884,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,71047.9,1.03089,0.51328,0.94927,0.95135,0.76236,0.81322,0.53448,1.58063,0.58433,0.75877,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,71868.3,1.0326,0.5144,0.95031,0.95048,0.76276,0.81324,0.53437,1.58171,0.58424,0.75879,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,72689.7,1.03253,0.51288,0.95017,0.95057,0.76305,0.81353,0.53424,1.58031,0.58426,0.75869,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,73512.1,1.02722,0.50949,0.94678,0.95041,0.76271,0.81359,0.53424,1.58086,0.58332,0.75849,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,74334,1.03015,0.5119,0.94725,0.95064,0.76327,0.81373,0.53463,1.58041,0.58203,0.75816,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,75156.3,1.023,0.50872,0.94755,0.95169,0.76388,0.81422,0.53471,1.58036,0.5821,0.75789,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,75976.5,1.02381,0.50953,0.945,0.95047,0.76505,0.81438,0.53457,1.58025,0.5819,0.75759,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
